issue_id,num_url,num_code,num_comment,num_table,count_word_title,count_word_body,readability,labeler_exper,num_file,num_add,num_delete,stargazers_count,whether_solved_by_newcomers
62421423,0,0,0,0,9,187,12.21,0,1,6,2,64262,1
51044116,1,0,0,0,5,25,17.82,114,1,2,2,64262,1
29464063,0,0,0,0,3,42,22.99,14,8,152,4,64262,1
68921578,3,0,0,0,6,63,14.64,174,4,36,0,64262,1
27192534,0,1,0,0,5,25,12.48,0,3,93,89,64262,1
47535316,0,1,0,0,6,29,24.09,0,1,7,0,64262,1
13924897,0,0,0,0,2,85,12.21,34,5,39,0,13456,1
24959323,,,,,,,,0,5,120,1,4571,1
31778432,1,2,0,0,8,69,12.19,22,1,0,14,7613,1
58447249,0,0,1,0,3,54,26.56,0,8,117,33,8211,1
57418059,0,2,0,0,6,109,18.76,0,1,2,2,12631,1
49307708,0,1,0,0,7,62,10.05,66,4,66,3,36831,1
49571183,1,2,3,0,10,76,10.74,67,1,1,0,36831,1
53934470,0,5,0,0,14,292,13.83,0,2,24,1,36831,1
64177706,1,2,8,1,7,147,27,0,9,40,33,50545,1
7576928,0,1,0,0,5,134,13.07,0,6,206,0,14910,1
8620778,0,0,0,0,3,72,9.17,0,11,156,57,14910,1
34722769,0,1,0,0,7,110,11.1,0,3,28,0,14910,1
40845831,1,2,2,0,7,79,13.35,88,3,10,3,14910,1
38505785,1,0,0,0,6,8,15.91,0,1,1,1,14910,1
20442650,1,1,0,0,12,65,11.97,0,4,284,0,14910,1
43616713,0,0,0,0,5,19,26.97,22,1,5,1,14910,1
25190033,0,0,0,0,7,27,15.19,0,3,49,10,14910,1
11998776,1,4,0,0,7,71,13.18,0,5,448,0,14910,1
22533901,0,0,0,0,12,22,3.02,0,3,61,5,14910,1
70212017,0,1,0,0,7,16,28.13,0,1,2,2,14910,1
14801793,1,3,0,0,8,32,21.94,0,3,52,13,14910,1
33395281,0,0,0,0,10,21,6.35,0,3,7,4,11738,1
26369321,1,1,0,0,7,41,8.66,0,1,4,24,11738,1
57845743,0,0,0,0,8,43,8.43,0,4,29,2,18788,1
38718987,0,1,1,0,4,29,14.69,0,1,1,1,7971,1
44565944,0,0,0,0,4,7,18.97,2,5,695,3,12790,1
45530084,0,0,0,0,6,36,27.8,0,1,0,1,12790,1
24466884,0,0,0,0,10,0,-15.81,61,1,1,0,3811,1
16189415,1,0,0,0,5,9,15.11,5,2,20,3,10992,1
22261399,0,0,0,0,3,0,-15.81,0,1,50,0,10992,1
22701791,0,1,0,0,6,13,8.16,0,1,4,3,10992,1
18987432,0,1,0,0,7,31,19.25,11,1,1,0,10992,1
16223829,0,0,0,0,4,12,11.82,,4,1046,1046,10992,1
32146338,0,0,0,0,7,1,180.8,2,6,41,5,10992,1
42207908,1,0,0,0,11,0,-15.81,0,2,13,1,3347,1
19971647,0,0,0,0,6,30,16.37,0,6,27,13,21632,1
6662768,0,0,0,0,2,43,21.92,,2,2,1,4862,1
35759971,0,0,0,0,2,12,84.32,0,3,28,16,4445,1
69775591,0,0,0,0,8,68,9.57,0,2,14,15,4445,1
45263926,,,,,,,,26,1,5,1,18193,1
34921136,0,0,0,0,4,55,9.29,176,2,5,1,4149,1
13104328,0,0,0,0,3,27,19.94,573,1,3,3,8911,1
2988591,0,0,0,0,6,88,12.96,,4,75,35,37020,1
9903833,0,1,0,0,10,6,4.28,255,2,9,1,6199,1
3005998,0,4,0,0,11,141,13.65,,3,11,1,4295,1
63878546,0,0,0,0,6,64,16.49,0,1,1,1,4506,1
9130317,0,0,0,0,6,47,10.11,0,1,1,1,30181,1
24643190,0,0,0,0,17,74,9.82,145,1,2,2,30181,1
8145676,1,0,0,0,6,104,12.83,0,2,2,2,30181,1
12540966,0,1,0,0,8,13,9.63,0,8,122,36,8223,1
14594726,0,2,0,0,4,51,14.52,0,,,,50951,1
27023282,0,1,0,0,4,35,9.99,0,3,11,0,50951,1
16644432,0,0,0,0,4,44,10.32,0,1,5,4,8119,1
34678331,0,0,0,0,10,58,13.42,218,2,23,0,6232,1
21770158,2,1,0,0,5,17,14.85,0,1,39,2,44138,1
28836494,0,2,0,0,13,55,10.17,0,3,96,5,44138,1
43050483,0,0,0,0,7,60,10.69,0,6,142,8,44138,1
16389022,0,0,0,0,11,28,48.03,0,1,0,21,44138,1
64150701,0,0,0,0,8,116,28.56,0,2,3,3,44138,1
45377568,1,1,0,0,5,25,28.02,30,4,44,14,9830,1
33955758,0,0,0,0,5,43,24.42,32,3,17,9,9830,1
57733292,0,0,0,0,5,26,45.25,,1,2,2,9830,1
33487312,2,0,0,0,8,0,-15.81,49,4,35,10,9830,1
63415330,1,0,0,0,8,41,19.39,0,1,4,3,9830,1
65378569,0,1,0,0,9,17,38.05,0,1,1,1,9830,1
35012984,0,1,0,0,11,5,-0.85,34,1,6,0,9830,1
62810753,0,3,0,0,7,21,10.33,0,15,53,35,9830,1
63779529,0,3,0,0,9,166,15.68,,14,4829,1362,9830,1
51742008,0,0,0,0,4,36,9.8,0,4,6,5,9830,1
59237491,2,2,4,0,5,22,25.7,0,2,11,2,9830,1
33760656,0,0,0,0,9,40,14.63,,17,475,7,10409,1
56351182,0,0,0,0,6,25,17.56,,4,19,3,10409,1
19131813,1,0,0,0,6,7,13.17,,2,14,10,14781,1
36949928,0,1,0,0,6,76,17.88,39,2,47,1,3493,1
24109969,0,1,0,0,9,85,10.47,15,3,15,2,42298,1
23193318,1,0,0,0,6,20,30.57,13,2,40,1,42298,1
56084771,0,1,0,0,3,70,12.89,3,3,3,3,42298,1
30419629,0,0,0,0,5,90,12.21,69,1,1,0,4246,1
12856141,0,0,0,0,6,47,19.32,0,3,34,0,25710,1
2277435,0,0,1,0,5,34,7.31,,3,88,3,25710,1
11942613,0,0,1,0,10,91,9.41,0,1,4,1,25710,1
18126221,0,0,0,0,2,28,14.51,0,1,6,0,25710,1
3251421,0,1,0,0,8,0,-15.81,,3,16,4,25710,1
32145356,,,,,,,,0,2,64,24,3409,1
46667581,,,,,,,,185,1,6,6,3409,1
28328635,0,1,0,0,13,33,12.47,268,1,4,0,10451,1
26021450,0,0,0,0,7,19,8.73,272,2,39,2,10451,1
34805459,0,0,0,0,4,64,16.44,282,3,63,10,10451,1
35265962,0,0,0,0,7,10,10.82,301,2,33,1,10451,1
54446458,0,1,0,0,6,43,23.4,,2,15,4,27481,1
30982995,0,0,0,0,5,21,6.64,0,1,2,0,3614,1
2449402,0,0,0,0,8,15,13.85,,,,,1863,1
2163857,1,0,0,0,6,71,8.34,,,,,1863,1
27872292,0,1,0,0,6,43,4.99,0,5,89,0,136126,1
54491305,0,0,0,0,11,16,50.57,0,1,2,2,136126,1
62700583,0,0,0,0,11,9,49.27,50,1,13,13,64262,1
47267455,0,0,0,0,4,0,-15.81,6,1,12,0,64262,1
45161935,0,0,1,0,11,46,21.12,1,5,69,9,64262,1
50914655,0,0,0,0,7,45,9.29,,1,2,2,64262,1
50385079,0,0,0,0,4,26,46.1,105,1,2,2,64262,1
37922086,1,2,2,1,8,104,10.39,204,1,42,32,64262,1
37267443,1,0,0,0,3,26,11.15,41,1,1,1,64262,1
22875978,0,3,0,0,10,33,10.03,0,3,102,34,64262,1
29209909,1,2,0,0,6,29,12.72,38,1,3,1,64262,1
58941319,0,0,0,0,5,58,25.88,18,1,5,0,64262,1
31189143,0,0,0,0,7,30,32.01,11,1,4,1,64262,1
50850788,2,0,0,0,7,22,14.62,113,2,53,60,64262,1
22400620,0,0,0,0,4,0,-15.81,66,2,4,4,64262,1
38188552,0,1,0,0,5,22,11.2,92,1,10,0,64262,1
60546232,0,2,0,0,6,21,9.52,158,2,11,35,64262,1
42081427,1,0,0,0,3,25,14.34,57,1,3,3,64262,1
31822731,0,2,0,0,6,79,14.28,0,2,36,1,64262,1
46580302,0,0,0,0,9,31,7.27,0,11,24,24,64262,1
49122616,0,0,0,0,7,67,11.63,198,1,4,3,64262,1
47175295,1,2,0,0,9,181,26.65,84,2,18,14,25621,1
63953254,1,1,0,0,3,56,17.41,22,1,14,7,13456,1
58265484,0,0,0,0,6,30,9.82,40,2,92,10,9058,1
57430611,1,0,1,0,11,83,10.04,0,4,229,210,8211,1
58776725,0,1,0,0,7,44,16.55,0,5,22,62,8211,1
35644910,0,0,0,0,10,189,21.99,0,2,7,7,5937,1
16302384,0,1,0,0,11,29,14.32,7,1,1,1,5937,1
45289736,1,0,0,0,6,33,8.97,64,4,76,41,36831,1
43305855,0,1,2,0,9,109,11.05,0,7,32,1,36831,1
36019491,0,0,0,0,2,123,15.86,93,2,4,21,14910,1
19161905,0,1,0,0,7,29,22.73,0,3,23,1,14910,1
9749856,0,0,0,0,7,47,11.77,0,4,33,9,14910,1
10468547,0,1,0,0,7,43,12.23,0,2,43,2,14910,1
10468433,0,1,0,0,5,44,7.08,0,3,30,0,14910,1
10468568,0,0,0,0,3,54,12.49,0,4,117,1,14910,1
27251087,0,2,0,0,5,94,14.93,0,3,398,1,14910,1
34142590,0,0,0,0,9,27,22.5,23,1,8,0,14910,1
8425807,0,0,0,0,3,33,15.68,0,2,12,12,14910,1
9145168,0,0,0,0,8,28,19.83,0,1,12,0,14910,1
35321315,0,1,0,0,13,118,13,,3,132,25,14910,1
42958397,0,7,2,0,7,176,12.2,87,2,49,0,14910,1
65498290,1,0,0,0,4,0,-15.81,0,1,12,8,14910,1
58412207,1,0,0,0,5,0,-15.81,10,1,43,23,14910,1
43038283,0,3,2,0,9,92,12.29,0,2,5,2,14910,1
39623870,0,0,1,0,9,103,11.21,0,2,12,0,7971,1
51186745,3,2,0,0,14,166,13.25,0,2,94,0,12790,1
50405117,1,0,0,0,3,44,22.28,160,2,19,5,12790,1
30917904,0,0,0,0,5,2,-7.41,0,1,24,24,3811,1
35051069,0,1,0,0,7,5,1.48,48,1,197,164,10992,1
43629664,0,1,0,0,8,13,9.5,0,1,1,0,10992,1
31253984,0,0,0,0,4,51,7.74,0,1,39,27,10992,1
17891941,0,0,0,0,5,0,-15.81,11,1,63,60,10992,1
18987167,0,1,0,0,7,27,22.32,11,1,10,8,10992,1
26056169,1,2,0,0,4,19,5.28,0,1,1,1,10992,1
23582550,0,0,0,0,4,30,8.66,0,1,126,100,10992,1
18987432,0,1,0,0,7,31,19.25,11,1,2,1,10992,1
12656040,0,1,0,0,4,13,3.23,305,2,28,25,10992,1
14356316,0,0,0,0,8,0,-15.81,0,3,56,5,10992,1
