id,issue_id,project_url,issue_url,commit,type,number_attempt_newcomer,whether_solved_by_newcomer,author_name,commit_created_at,exper,longterm,resolve_time_days
28141217,5516,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/5516,9beb36ad98e9de1aff331f86954ddb71291d8405,bug,2,TRUE,firedfox,2016-03-02 11:55:53 UTC,0,7,0.5
64177706,9807,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/9807,cfcfd05cd8c8d92b523d821b1eb669ea6782d2bb,bug,1,TRUE,djeeg,2018-01-10 11:03:56 UTC,0,1,0.79
65941807,10134,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10134,9e737395f77c605f6432d04a92c240b5c3b700d7,bug,1,TRUE,Kirill Mesnyankin,2018-02-02 02:31:45 UTC,0,3,0.17
67630488,10435,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10435,520f07e8370095892491e583896c19e6ecc34ef1,bug,1,TRUE,Michael Owens,2018-03-03 04:16:20 UTC,0,0,6.42
65536173,10540,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/10540,96a2c10da1d5d793a57d8c1734f7a06c5ec88347,bug,1,TRUE,ymazari,2018-02-14 04:39:52 UTC,0,0,17.46
65677091,10085,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10085,ddd4c66a666610b1a3f616eb74603efcf473e713,bug,1,TRUE,Scott Koenig,2018-01-30 06:18:42 UTC,0,1,0.38
60943929,4952,https://api.github.com/repos/yarnpkg/yarn,https://github.com/yarnpkg/yarn/issues/4952,6dbc9d7b4af6db4d2460f5abb18fdd207a3417a5,bug,1,TRUE,Michael Jungo,2018-01-29 17:33:46 UTC,0,0,72.79
61329731,2351,https://api.github.com/repos/tgriesser/knex,https://github.com/tgriesser/knex/issues/2351,15706c0d001f331604caed07a9686a46bff667bb,bug,1,TRUE,P-Seebauer,2018-01-18 23:29:38 UTC,0,0,56.21
28194500,5538,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/5538,96af4741cda933d378f4adb8101ad6416f3dbc89,doc,1,TRUE,Michael Barrett,2016-03-03 23:01:01 UTC,0,0,1
52933309,14308,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/14308,a2b68723a920b9cc70377727ec0e3bbe11fbe548,cleanup,2,TRUE,Tim Costa,2017-07-16 17:32:39 UTC,0,0,0.04
54750024,533,https://api.github.com/repos/netlify/netlify-cms,https://github.com/netlify/netlify-cms/issues/533,94a3941d9f08eedfeaf3c71943f06aa3f051253e,feature,1,TRUE,Frank Taillandier,2017-09-14 01:08:43 UTC,0,1,28.33
62345659,81,https://api.github.com/repos/laurent22/joplin,https://github.com/laurent22/joplin/issues/81,7bccf7f65d6554abbdff45641b3769af1bf7128a,feature,1,TRUE,pf-siedler,2018-01-28 23:12:54 UTC,0,0,51.54
64713837,570,https://api.github.com/repos/parcel-bundler/parcel,https://github.com/parcel-bundler/parcel/issues/570,ca84e156273eaa88e910e874ed639f9cd8bebcd0,feature,1,TRUE,Nicolai Süper,2018-02-14 07:12:30 UTC,0,0,28.42
59361170,1179,https://api.github.com/repos/GoogleChrome/puppeteer,https://github.com/GoogleChrome/puppeteer/issues/1179,e0f5b9392373b3a1d4214d27a36fb0c0a369792f,feature,1,TRUE,Xingan Wang,2017-11-03 00:05:38 UTC,0,1,7.04
63144751,3306,https://api.github.com/repos/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby/issues/3306,882cc99ccb768af8683e45cde383da8f2619bfb0,feature,1,TRUE,Phelipe Wener,2018-01-10 11:13:21 UTC,0,0,19.58
46505765,7433,https://api.github.com/repos/sequelize/sequelize,https://github.com/sequelize/sequelize/issues/7433,438baac08e31e506bbb59db9ffbd84b376e50064,feature,1,TRUE,Oscar Reyes,2017-12-06 11:19:16 UTC,0,0,254.29
22364118,4037,https://api.github.com/repos/eslint/eslint,https://github.com/eslint/eslint/issues/4037,0c4de5c2451322321219ad173eeabc7b425f9e6b,feature,1,TRUE,Gajus Kuizinas,2016-01-18 18:57:16 UTC,0,3,106
47389037,1269,https://api.github.com/repos/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim/issues/1269,bf1b8653259b2a39d24744e2840db3074c411ded,feature,1,TRUE,Kumar Akshay,2017-12-12 19:30:54 UTC,0,2,246.33
10334507,3421,https://api.github.com/repos/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn/issues/3421,ea1548ad480e2d9b5251518d34b86ac7e44a9628,echancement,1,TRUE,Aaron Staple,2014-10-10 16:30:35 UTC,0,0,84.38
67423869,10401,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10401,abd6cfc0d5772751ea8ccaf00a0e06f7bc6104ee,echancement,1,TRUE,Noah Potter,2018-02-23 15:42:53 UTC,0,0,1.63
63367811,7103,https://api.github.com/repos/babel/babel,https://github.com/babel/babel/issues/7103,d761d765bd26ee7cc376b41057511756d9cee8c7,echancement,1,TRUE,Gustavo Rios de Sousa e Silva,2017-12-28 19:17:28 UTC,0,0,3
